City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
vestmannaeyjar,68,IS,1533784152.0,90,63.44,-20.27,49.6,12.77
cape town,0,ZA,1533780000.0,81,-33.93,18.42,46.4,8.05
dikson,48,RU,1533784152.0,77,73.51,80.55,50.67,20.27
port elizabeth,40,US,1533783300.0,88,39.31,-74.98,80.69,7.85
hermanus,0,ZA,1533784153.0,100,-34.42,19.24,31.24,3.38
hilo,90,US,1533782100.0,88,19.71,-155.08,72.91,17.69
myaundzha,88,RU,1533784153.0,83,63.05,147.18,53.87,3.6
new norfolk,40,AU,1533783600.0,41,-42.78,147.06,60.8,27.51
tra vinh,92,VN,1533784154.0,100,9.93,106.35,76.69,11.99
aguimes,40,ES,1533783600.0,73,27.91,-15.45,71.6,18.34
jamestown,0,AU,1533784155.0,61,-33.21,138.6,60.66,15.9
bluff,0,AU,1533784155.0,24,-23.58,149.07,72.23,8.08
santa rosalia,0,IT,1533783300.0,78,38.07,13.27,73.22,3.36
lebu,80,ET,1533784155.0,89,8.96,38.73,46.58,2.59
hobart,40,AU,1533781800.0,44,-42.88,147.33,59.0,25.28
qaanaaq,68,GL,1533784156.0,100,77.48,-69.36,33.53,4.05
joshimath,8,IN,1533784156.0,100,30.57,79.57,37.81,1.36
ushuaia,75,AR,1533780000.0,100,-54.81,-68.31,42.8,23.04
saint-louis,0,CH,1533783600.0,93,47.59,7.56,64.85,4.7
luderitz,0,NA,1533784157.0,92,-26.65,15.16,52.43,18.48
dongsheng,12,CN,1533784157.0,74,29.72,112.52,95.58,4.38
busselton,92,AU,1533784157.0,100,-33.64,115.35,54.05,22.73
madison,1,US,1533783360.0,73,43.07,-89.38,70.9,3.36
faanui,68,PF,1533784158.0,97,-16.48,-151.75,80.82,12.88
rikitea,36,PF,1533784158.0,100,-23.12,-134.97,74.12,11.21
guryevsk,0,RU,1533784158.0,64,54.28,85.93,69.75,3.27
cabo san lucas,90,MX,1533779160.0,83,22.89,-109.91,79.83,9.17
kathu,92,ZA,1533784159.0,73,-27.7,23.05,44.1,2.93
katsuura,75,JP,1533780000.0,66,33.93,134.5,84.2,9.17
praia da vitoria,0,PT,1533780000.0,88,38.73,-27.07,68.0,4.38
palana,92,RU,1533784159.0,97,59.08,159.95,56.03,3.38
port hardy,20,CA,1533780000.0,60,50.7,-127.42,69.8,10.29
mataura,92,NZ,1533784160.0,85,-46.19,168.86,52.47,9.19
barrow,0,AR,1533784160.0,93,-38.31,-60.23,40.77,12.21
mar del plata,8,AR,1533784160.0,72,-46.43,-67.52,44.33,15.46
vaini,92,IN,1533784160.0,98,15.34,74.49,68.5,6.51
kodiak,1,US,1533779580.0,83,39.95,-94.76,78.8,2.59
viedma,12,AR,1533784161.0,88,-40.81,-62.99,36.0,7.4
magadan,75,RU,1533781800.0,60,59.56,150.8,68.0,6.71
norman wells,90,CA,1533780000.0,100,65.28,-126.83,46.4,11.41
udachnyy,0,RU,1533784161.0,64,66.42,112.4,60.21,3.27
clyde river,90,CA,1533780000.0,86,70.47,-68.59,41.0,2.24
almaznyy,0,RU,1533784162.0,55,48.03,40.04,63.36,13.67
cidreira,100,BR,1533784162.0,100,-30.17,-50.22,58.6,17.02
matara,92,PE,1533784162.0,88,-13.74,-72.9,39.33,1.81
chiang klang,75,TH,1533780000.0,100,19.29,100.86,78.8,4.7
shingu,20,JP,1533780000.0,70,33.72,135.99,84.2,17.22
codrington,0,AU,1533784163.0,62,-28.95,153.24,63.55,4.94
antalaha,64,MG,1533784163.0,94,-14.9,50.28,68.31,7.85
upernavik,92,GL,1533784164.0,96,72.79,-56.15,39.6,10.42
gondar,40,PT,1533783600.0,93,41.82,-8.78,59.32,9.17
bethel,90,US,1533779580.0,67,60.79,-161.76,57.2,11.41
inhambane,88,MZ,1533784165.0,91,-23.87,35.38,70.47,14.0
kasangulu,75,CD,1533780000.0,82,-4.59,15.17,68.9,4.94
guerrero negro,24,MX,1533784165.0,58,27.97,-114.04,84.2,8.3
tautira,40,PF,1533781800.0,69,-17.73,-149.15,78.8,13.87
pearl,1,US,1533782100.0,94,32.27,-90.13,82.02,5.17
grand gaube,40,MU,1533780000.0,88,-20.01,57.66,64.4,5.82
tabora,0,TZ,1533780000.0,71,-5.02,32.81,57.2,12.44
margate,40,AU,1533783600.0,41,-43.03,147.26,60.8,27.51
saint anthony,1,US,1533779760.0,17,43.97,-111.68,83.57,4.7
east london,92,ZA,1533784167.0,100,-33.02,27.91,56.57,8.86
avarua,40,CK,1533780000.0,73,-21.21,-159.78,75.2,13.87
los llanos de aridane,0,ES,1533783600.0,68,28.66,-17.92,71.6,17.22
punta arenas,75,CL,1533780000.0,86,-53.16,-70.91,41.0,13.87
betong,92,MY,1533784168.0,100,5.77,101.07,72.19,3.38
albany,90,US,1533783240.0,88,42.65,-73.75,72.64,5.82
victoria,75,BN,1533781800.0,74,5.28,115.24,85.12,6.93
lubao,90,PH,1533780000.0,83,14.94,120.6,82.45,9.17
saskylakh,44,RU,1533784169.0,73,71.97,114.09,63.05,9.86
atuona,92,PF,1533784169.0,99,-9.8,-139.03,79.83,17.02
broome,76,GB,1533783360.0,72,52.47,1.45,61.14,4.7
castro,24,CL,1533784170.0,91,-42.48,-73.76,40.5,5.39
narsaq,80,GL,1533783000.0,81,60.91,-46.05,46.4,4.7
mount gambier,8,AU,1533784170.0,87,-37.83,140.78,55.44,10.2
